event_ticker,title,n_markets,first_open_time,close_time,settled,actual_cpi_mom,total_volume
CPI-21AUG,CPI in August 2021?,1,2021-08-11T15:40:00Z,2021-09-13T23:00:00Z,True,0.3,2753.0
CPI-21DEC,CPI in December 2021?,4,2021-12-10T15:00:00Z,2022-01-12T04:59:00Z,True,0.5,155422.0
CPI-21JUL,CPI in July 2021?,1,2021-07-13T21:00:00Z,2021-08-10T23:00:00Z,True,0.5,22562.0
CPI-21JUN,CPI in June 2021?,1,2021-06-30T14:00:00Z,2021-07-12T23:00:00Z,True,0.9,4129.0
CPI-21NOV,CPI in November 2021?,3,2021-10-14T14:00:00Z,2021-12-10T04:59:00Z,True,0.8,43025.0
CPI-21OCT,CPI in October 2021?,3,2021-08-02T20:30:00Z,2021-11-10T00:00:00Z,True,0.9,43257.0
CPI-21SEP,CPI in September 2021?,1,2021-09-14T14:00:00Z,2021-10-12T23:00:00Z,True,0.4,14861.0
CPI-22APR,CPI in April 2022?,12,2022-03-22T14:00:00Z,2022-05-11T12:25:57Z,True,0.3,361591.0
CPI-22AUG,CPI in August 2022?,15,2022-03-23T14:00:00Z,2022-09-13T12:25:00Z,True,0.1,288105.0
CPI-22DEC,CPI in December 2022?,12,2022-11-02T15:00:00Z,2023-01-12T13:25:00Z,True,-0.1,279359.0
CPI-22FEB,CPI in February 2022?,4,2022-02-10T15:00:00Z,2022-03-10T13:25:00Z,True,0.8,53322.0
CPI-22JAN,CPI in January 2022?,4,2022-01-13T15:00:00Z,2022-02-10T13:25:00Z,True,0.6,63756.0
CPI-22JUL,CPI in July 2022?,11,2022-03-23T14:00:00Z,2022-08-10T12:25:30Z,True,0.0,479551.0
CPI-22JUN,CPI in June 2022?,13,2022-03-23T14:00:00Z,2022-07-13T12:25:58Z,True,1.3,461852.0
CPI-22MAR,CPI in March 2022?,7,2022-03-10T15:00:00Z,2022-04-12T12:25:00Z,True,1.2,146870.0
CPI-22MAY,CPI in May 2022?,12,2022-03-22T14:00:00Z,2022-06-10T12:25:44Z,True,1.0,266596.0
CPI-22NOV,CPI in November 2022?,10,2022-03-23T14:00:00Z,2022-12-13T13:25:00Z,True,0.1,334392.0
CPI-22OCT,CPI in October 2022?,8,2022-03-24T14:00:00Z,2022-11-10T13:25:00Z,True,0.4,275553.0
CPI-22SEP,CPI in September 2022?,11,2022-03-23T14:00:00Z,2022-10-13T12:25:00Z,True,0.4,236167.0
CPI-23APR,CPI in Apr 2023?,9,2022-11-02T15:00:00Z,2023-05-10T12:25:00Z,True,0.4,203665.0
CPI-23AUG,CPI in Aug 2023?,9,2022-11-02T15:00:00Z,2023-09-13T12:25:00Z,True,0.6,236740.0
CPI-23DEC,CPI in Dec 2023?,7,2023-11-28T21:45:00Z,2024-01-11T13:25:00Z,True,0.3,37975.0
CPI-23FEB,CPI in Feb 2023?,9,2022-11-02T15:00:00Z,2023-03-14T12:25:00Z,True,0.4,149338.0
CPI-23JAN,CPI in Jan 2023?,9,2022-11-02T15:00:00Z,2023-02-14T13:25:00Z,True,0.5,183311.0
CPI-23JUL,CPI in Jul 2023?,13,2022-11-02T15:00:00Z,2023-08-10T12:25:00Z,True,0.2,96234.0
CPI-23JUN,CPI in Jun 2023?,9,2022-11-02T15:00:00Z,2023-07-12T12:25:00Z,True,0.2,62136.0
CPI-23MAR,CPI in Mar 2023?,9,2022-11-02T15:00:00Z,2023-04-12T12:25:00Z,True,0.1,174452.0
CPI-23MAY,CPI in May 2023?,11,2022-11-02T15:00:00Z,2023-06-13T12:25:00Z,True,0.1,135134.0
CPI-23NOV,CPI in Nov 2023?,11,2022-11-02T15:00:00Z,2023-12-12T13:25:00Z,True,0.1,91789.0
CPI-23OCT,CPI in Oct 2023?,12,2022-11-02T15:00:00Z,2023-11-14T13:25:00Z,True,0.0,82301.0
CPI-23SEP,CPI in Sep 2023?,12,2022-11-02T15:00:00Z,2023-10-12T12:25:00Z,True,0.4,140406.0
CPI-24APR,CPI in Apr 2024?,8,2024-03-13T14:00:00Z,2024-05-15T12:25:00Z,True,0.3,122977.0
CPI-24AUG,CPI in Aug 2024?,8,2024-07-12T14:00:00Z,2024-09-11T12:25:00Z,True,0.2,22352.0
CPI-24FEB,CPI in Feb 2024?,8,2024-01-11T16:00:00Z,2024-03-12T12:25:00Z,True,0.4,48516.0
CPI-24JAN,CPI in Jan 2024?,6,2024-01-02T16:00:00Z,2024-02-13T13:25:00Z,True,0.3,37247.0
CPI-24JUL,CPI in Jul 2024?,8,2024-06-13T14:00:00Z,2024-08-14T12:25:00Z,True,0.2,38060.0
