target_month,nowcast_date,cpi_mom_nowcast,cpi_mom_actual_clevelandfed
2013-08,2013-08-20,0.1622798409,
2013-08,2013-08-21,0.1353778859,
2013-08,2013-08-22,0.1353778859,
2013-08,2013-08-23,0.1353778859,
2013-08,2013-08-26,0.1353778859,
2013-08,2013-08-27,0.1248922461,
2013-08,2013-08-28,0.1248922461,
2013-08,2013-08-29,0.1248922461,
2013-08,2013-08-30,0.1248922461,
2013-08,2013-09-03,0.1248922461,
2013-08,2013-09-04,0.1248922461,
2013-08,2013-09-05,0.1248922461,
2013-08,2013-09-06,0.1248922461,
2013-08,2013-09-09,0.1248922461,
2013-08,2013-09-10,0.1248922461,
2013-08,2013-09-11,0.1248922461,
2013-08,2013-09-12,0.1248922461,
2013-08,2013-09-13,0.1248922461,
2013-09,2013-09-03,0.3936874753,
2013-09,2013-09-04,0.3128509454,
2013-09,2013-09-05,0.3128509454,
2013-09,2013-09-06,0.3128509454,
2013-09,2013-09-09,0.3128509454,
2013-09,2013-09-10,0.2983250987,
2013-09,2013-09-11,0.2983250987,
2013-09,2013-09-12,0.2983250987,
2013-09,2013-09-13,0.2983250987,
2013-09,2013-09-16,0.2983250987,
2013-09,2013-09-17,0.2726734763,
2013-09,2013-09-18,0.2726734763,
2013-09,2013-09-19,0.2726734763,
2013-09,2013-09-20,0.2726734763,
2013-09,2013-09-23,0.2416745955,
2013-09,2013-09-24,0.2416745955,
2013-09,2013-09-25,0.2416745955,
2013-09,2013-09-26,0.2416745955,
2013-09,2013-09-27,0.2416745955,
2013-09,2013-09-30,0.2031578759,
2013-09,2013-10-01,0.2031578759,
2013-09,2013-10-02,0.2031578759,
2013-09,2013-10-03,0.2031578759,
2013-09,2013-10-04,0.2031578759,
2013-09,2013-10-07,0.2031578759,
2013-09,2013-10-08,0.2031578759,
2013-09,2013-10-09,0.2031578759,
2013-09,2013-10-10,0.2031578759,
2013-09,2013-10-11,0.2031578759,
2013-09,2013-10-15,0.2031578759,
2013-09,2013-10-16,0.2031578759,
2013-09,2013-10-17,0.2031578759,
2013-09,2013-10-18,0.2031578759,
2013-09,2013-10-21,0.2031578759,
2013-09,2013-10-22,0.2031578759,
2013-09,2013-10-23,0.2031578759,
2013-09,2013-10-24,0.2031578759,
2013-09,2013-10-25,0.2031578759,
2013-10,2013-10-01,0.1605095678,
2013-10,2013-10-02,0.1181388586,
2013-10,2013-10-03,0.1533869055,
2013-10,2013-10-04,0.1633099308,
2013-10,2013-10-07,0.1737504144,
2013-10,2013-10-08,-0.0011812538,
2013-10,2013-10-09,-0.0011812538,
2013-10,2013-10-10,-0.0011812538,
2013-10,2013-10-11,-0.0011812538,
2013-10,2013-10-15,-0.0011812538,
2013-10,2013-10-16,-0.0011812538,
2013-10,2013-10-17,-0.0011812538,
2013-10,2013-10-18,-0.009326704,
2013-10,2013-10-21,-0.009326704,
2013-10,2013-10-22,-0.0095735358,
2013-10,2013-10-23,-0.0095735358,
2013-10,2013-10-24,-0.0095735358,
2013-10,2013-10-25,-0.0095735358,
2013-10,2013-10-28,-0.0095735358,
2013-10,2013-10-29,-0.0330225593,
2013-10,2013-10-30,-0.0355596994,
2013-10,2013-10-31,-0.0355596994,
2013-10,2013-11-01,-0.0355596994,
2013-10,2013-11-04,-0.0355596994,
2013-10,2013-11-05,-0.0355596994,
2013-10,2013-11-06,-0.0355596994,
2013-10,2013-11-07,-0.0355596994,
2013-10,2013-11-08,-0.0355596994,
2013-10,2013-11-12,-0.0355596994,
2013-10,2013-11-13,-0.0355596994,
2013-10,2013-11-14,-0.0355596994,
2013-10,2013-11-15,-0.0355596994,
2013-11,2013-11-01,0.2265089028,
2013-11,2013-11-04,0.1225895504,
2013-11,2013-11-05,0.067695188,
2013-11,2013-11-06,0.067695188,
2013-11,2013-11-07,0.067695188,
2013-11,2013-11-08,0.067695188,
2013-11,2013-11-12,0.0140597203,
2013-11,2013-11-13,0.0140597203,
2013-11,2013-11-14,0.0140597203,
2013-11,2013-11-15,0.0140597203,
2013-11,2013-11-18,0.008618441,
2013-11,2013-11-19,0.0087751396,
2013-11,2013-11-20,0.0087751396,
2013-11,2013-11-21,0.0087751396,
2013-11,2013-11-22,0.03474188,
2013-11,2013-11-25,0.03474188,
2013-11,2013-11-26,0.03474188,
2013-11,2013-11-27,0.03474188,
2013-11,2013-11-30,0.03474188,
2013-11,2013-12-03,0.03474188,
2013-11,2013-12-04,0.03474188,
2013-11,2013-12-05,0.03474188,
2013-11,2013-12-06,0.03474188,
2013-11,2013-12-09,0.03474188,
2013-11,2013-12-10,0.03474188,
2013-11,2013-12-11,0.03474188,
2013-12,2013-12-03,0.4384211884,
2013-12,2013-12-04,0.2678089848,
2013-12,2013-12-05,0.2678089848,
2013-12,2013-12-06,0.2678089848,
2013-12,2013-12-09,0.2654151755,
2013-12,2013-12-10,0.2654151755,
2013-12,2013-12-11,0.2654151755,
2013-12,2013-12-12,0.2654151755,
2013-12,2013-12-13,0.2654151755,
2013-12,2013-12-16,0.2464787298,
2013-12,2013-12-17,0.2464787298,
2013-12,2013-12-18,0.2464787298,
2013-12,2013-12-19,0.2464787298,
2013-12,2013-12-20,0.2503802733,
2013-12,2013-12-23,0.2503802733,
2013-12,2013-12-24,0.2503802733,
2013-12,2013-12-26,0.2714486084,
2013-12,2013-12-27,0.2714486084,
2013-12,2013-12-30,0.2714486084,
2013-12,2013-12-31,0.2714486084,
2013-12,2014-01-02,0.2714486084,
2013-12,2014-01-03,0.2714486084,
2013-12,2014-01-06,0.2714486084,
2013-12,2014-01-07,0.2714486084,
2013-12,2014-01-08,0.2714486084,
2013-12,2014-01-09,0.2714486084,
2013-12,2014-01-10,0.2714486084,
2014-01,2014-01-02,0.0644952879,
2014-01,2014-01-03,-0.0403358419,
2014-01,2014-01-06,-0.033393426,
2014-01,2014-01-07,0.0472896646,
2014-01,2014-01-08,0.0472896646,
2014-01,2014-01-09,0.0472896646,
2014-01,2014-01-10,0.0472896646,
2014-01,2014-01-13,0.0472896646,
2014-01,2014-01-14,0.0432957278,
2014-01,2014-01-15,0.0432957278,
2014-01,2014-01-16,0.0440334732,
2014-01,2014-01-17,0.0440334732,
2014-01,2014-01-21,0.0266511863,
2014-01,2014-01-22,0.0266511863,
2014-01,2014-01-23,0.0266511863,
2014-01,2014-01-24,0.0266511863,
2014-01,2014-01-27,0.0175589132,
2014-01,2014-01-28,0.0175589132,
2014-01,2014-01-29,0.0175589132,
2014-01,2014-01-30,0.0175589132,
2014-01,2014-01-31,0.0175589132,
2014-01,2014-02-03,0.0175589132,
2014-01,2014-02-04,0.0175589132,
