sample,horizon_days,forecaster,n,mae,rmse,bias
headline,30,kalshi,54,0.139444,0.186575,0.004370
headline,30,cleveland,54,0.147222,0.195604,0.021444
headline,30,naive_last,54,0.266667,0.343188,0.000000
headline,30,naive_avg12,53,0.226226,0.306172,0.043208
headline,14,kalshi,56,0.107089,0.144899,-0.001304
headline,14,cleveland,56,0.126607,0.165253,0.009464
headline,14,naive_last,56,0.244643,0.349745,0.012500
headline,14,naive_avg12,54,0.217407,0.302673,0.038148
headline,7,kalshi,56,0.102036,0.138458,0.001607
headline,7,cleveland,56,0.126107,0.163671,0.011393
headline,7,naive_last,56,0.244643,0.349745,0.012500
headline,7,naive_avg12,54,0.217407,0.302673,0.038148
headline,1,kalshi,56,0.091500,0.125679,0.001607
headline,1,cleveland,56,0.128179,0.165494,0.010071
headline,1,naive_last,56,0.244643,0.349745,0.012500
headline,1,naive_avg12,54,0.217407,0.302673,0.038148
all,30,kalshi,55,0.137291,0.184892,0.004673
all,30,cleveland,55,0.145345,0.193909,0.021855
all,30,naive_last,55,0.265455,0.341121,0.003636
all,30,naive_avg12,54,0.222778,0.303373,0.043148
all,14,kalshi,57,0.105368,0.143627,-0.001123
all,14,cleveland,57,0.124684,0.163813,0.009000
all,14,naive_last,57,0.242105,0.346916,0.014035
all,14,naive_avg12,55,0.214364,0.299985,0.038364
all,7,kalshi,57,0.100421,0.137244,0.001754
all,7,cleveland,57,0.124193,0.162245,0.010895
all,7,naive_last,57,0.242105,0.346916,0.014035
all,7,naive_avg12,55,0.214364,0.299985,0.038364
all,1,kalshi,57,0.090105,0.124581,0.001789
all,1,cleveland,57,0.126228,0.164051,0.009596
all,1,naive_last,57,0.242105,0.346916,0.014035
all,1,naive_avg12,55,0.214364,0.299985,0.038364
