sample,horizon_days,benchmark,loss,n,kalshi_mean_loss,benchmark_mean_loss,mean_loss_diff,dm_t,dm_p,dm_t_hac2,dm_p_hac2,kalshi_closer,benchmark_closer,ties
headline,30,cleveland,abs,54,0.139444,0.147222,-0.007778,-0.469469,0.638734,-0.498512,0.618123,27,25,2
headline,30,cleveland,sq,54,0.034810,0.038261,-0.003451,-0.432291,0.665530,-0.428010,0.668644,27,25,2
headline,30,naive_last,abs,54,0.139444,0.266667,-0.127222,-5.443781,0.000000,-5.260373,0.000000,39,15,0
headline,30,naive_last,sq,54,0.034810,0.117778,-0.082968,-3.958447,0.000075,-3.941536,0.000081,39,15,0
headline,30,naive_avg12,abs,53,0.138321,0.226226,-0.087906,-3.824680,0.000131,-3.629591,0.000284,34,18,1
headline,30,naive_avg12,sq,53,0.034720,0.093742,-0.059022,-3.481387,0.000499,-3.144573,0.001663,34,18,1
headline,14,cleveland,abs,56,0.107089,0.126607,-0.019518,-1.585850,0.112773,-1.502576,0.132948,31,25,0
headline,14,cleveland,sq,56,0.020996,0.027309,-0.006313,-1.545152,0.122310,-1.406090,0.159697,31,25,0
headline,14,naive_last,abs,56,0.107089,0.244643,-0.137554,-4.951467,0.000001,-5.014127,0.000001,45,11,0
headline,14,naive_last,sq,56,0.020996,0.122321,-0.101326,-3.040814,0.002359,-3.193348,0.001406,45,11,0
headline,14,naive_avg12,abs,54,0.102574,0.217407,-0.114833,-4.580528,0.000005,-3.952673,0.000077,38,16,0
headline,14,naive_avg12,sq,54,0.018811,0.091611,-0.072801,-3.986696,0.000067,-3.270059,0.001075,38,16,0
headline,7,cleveland,abs,56,0.102036,0.126107,-0.024071,-2.056123,0.039771,-1.878288,0.060342,32,24,0
headline,7,cleveland,sq,56,0.019171,0.026788,-0.007618,-2.000339,0.045464,-1.676468,0.093647,32,24,0
headline,7,naive_last,abs,56,0.102036,0.244643,-0.142607,-4.874754,0.000001,-5.190694,0.000000,44,12,0
headline,7,naive_last,sq,56,0.019171,0.122321,-0.103151,-3.037023,0.002389,-3.236165,0.001211,44,12,0
headline,7,naive_avg12,abs,54,0.096852,0.217407,-0.120556,-5.051807,0.000000,-4.286689,0.000018,41,13,0
headline,7,naive_avg12,sq,54,0.016900,0.091611,-0.074711,-4.165117,0.000031,-3.347648,0.000815,41,13,0
headline,1,cleveland,abs,56,0.091500,0.128179,-0.036679,-3.255112,0.001133,-3.044315,0.002332,32,24,0
headline,1,cleveland,sq,56,0.015795,0.027388,-0.011593,-3.400873,0.000672,-3.064652,0.002179,32,24,0
headline,1,naive_last,abs,56,0.091500,0.244643,-0.153143,-4.929202,0.000001,-5.175217,0.000000,45,11,0
headline,1,naive_last,sq,56,0.015795,0.122321,-0.106526,-3.063129,0.002190,-3.190666,0.001419,45,11,0
headline,1,naive_avg12,abs,54,0.086333,0.217407,-0.131074,-5.286763,0.000000,-4.386437,0.000012,42,12,0
headline,1,naive_avg12,sq,54,0.013548,0.091611,-0.078063,-4.214525,0.000025,-3.341463,0.000833,42,12,0
all,30,cleveland,abs,55,0.137291,0.145345,-0.008055,-0.495191,0.620465,-0.526147,0.598786,28,25,2
all,30,cleveland,sq,55,0.034185,0.037601,-0.003415,-0.435829,0.662960,-0.431560,0.666061,28,25,2
all,30,naive_last,abs,55,0.137291,0.265455,-0.128164,-5.581880,0.000000,-5.423357,0.000000,40,15,0
all,30,naive_last,sq,55,0.034185,0.116364,-0.082178,-3.991148,0.000066,-3.968319,0.000072,40,15,0
all,30,naive_avg12,abs,54,0.136148,0.222778,-0.086630,-3.834828,0.000126,-3.623312,0.000291,35,18,1
all,30,naive_avg12,sq,54,0.034085,0.092035,-0.057950,-3.476094,0.000509,-3.129853,0.001749,35,18,1
all,14,cleveland,abs,57,0.105368,0.124684,-0.019316,-1.597489,0.110157,-1.522571,0.127866,32,25,0
all,14,cleveland,sq,57,0.020629,0.026835,-0.006206,-1.545757,0.122163,-1.408159,0.159084,32,25,0
all,14,naive_last,abs,57,0.105368,0.242105,-0.136737,-5.008518,0.000001,-5.062049,0.000000,46,11,0
all,14,naive_last,sq,57,0.020629,0.120351,-0.099722,-3.042965,0.002343,-3.186428,0.001440,46,11,0
all,14,naive_avg12,abs,55,0.100873,0.214364,-0.113491,-4.604759,0.000004,-3.966785,0.000073,39,16,0
all,14,naive_avg12,sq,55,0.018470,0.089991,-0.071521,-3.979706,0.000069,-3.255930,0.001130,39,16,0
all,7,cleveland,abs,57,0.100421,0.124193,-0.023772,-2.066429,0.038788,-1.897594,0.057750,33,24,0
all,7,cleveland,sq,57,0.018836,0.026323,-0.007487,-2.000331,0.045465,-1.677867,0.093373,33,24,0
all,7,naive_last,abs,57,0.100421,0.242105,-0.141684,-4.927937,0.000001,-5.233012,0.000000,45,12,0
all,7,naive_last,sq,57,0.018836,0.120351,-0.101515,-3.039061,0.002373,-3.228598,0.001244,45,12,0
all,7,naive_avg12,abs,55,0.095273,0.214364,-0.119091,-5.073811,0.000000,-4.294337,0.000018,42,13,0
all,7,naive_avg12,sq,55,0.016595,0.089991,-0.073396,-4.156738,0.000032,-3.332203,0.000862,42,13,0
all,1,cleveland,abs,57,0.090105,0.126228,-0.036123,-3.259450,0.001116,-3.068023,0.002155,33,24,0
all,1,cleveland,sq,57,0.015521,0.026913,-0.011392,-3.396071,0.000684,-3.059334,0.002218,33,24,0
all,1,naive_last,abs,57,0.090105,0.242105,-0.152000,-4.977087,0.000001,-5.208373,0.000000,46,11,0
all,1,naive_last,sq,57,0.015521,0.120351,-0.104830,-3.064905,0.002177,-3.183324,0.001456,46,11,0
all,1,naive_avg12,abs,55,0.084982,0.214364,-0.129382,-5.303254,0.000000,-4.387611,0.000011,43,12,0
all,1,naive_avg12,sq,55,0.013304,0.089991,-0.076687,-4.205570,0.000026,-3.325978,0.000881,43,12,0
