month,event_ticker,release_date,first_release_mom,bls_index_current,bls_mom_current,revised_since_release
2021-06,CPI-21JUN,2021-07-12,0.9,270.654,0.8,YES
2021-07,CPI-21JUL,2021-08-10,0.5,271.903,0.5,
2021-08,CPI-21AUG,2021-09-13,0.3,272.676,0.3,
2021-09,CPI-21SEP,2021-10-12,0.4,273.91,0.5,YES
2021-10,CPI-21OCT,2021-11-10,0.9,276.55,1.0,YES
2021-11,CPI-21NOV,2021-12-10,0.8,278.919,0.9,YES
2021-12,CPI-21DEC,2022-01-12,0.5,280.845,0.7,YES
2022-01,CPI-22JAN,2022-02-10,0.6,282.543,0.6,
2022-02,CPI-22FEB,2022-03-10,0.8,284.5,0.7,YES
2022-03,CPI-22MAR,2022-04-12,1.2,287.674,1.1,YES
2022-04,CPI-22APR,2022-05-11,0.3,288.561,0.3,
2022-05,CPI-22MAY,2022-06-10,1.0,291.298,0.9,YES
2022-06,CPI-22JUN,2022-07-13,1.3,294.957,1.3,
2022-07,CPI-22JUL,2022-08-10,0.0,294.913,-0.0,
2022-08,CPI-22AUG,2022-09-13,0.1,295.097,0.1,
2022-09,CPI-22SEP,2022-10-13,0.4,296.349,0.4,
2022-10,CPI-22OCT,2022-11-10,0.4,298.007,0.6,YES
2022-11,CPI-22NOV,2022-12-13,0.1,298.786,0.3,YES
2022-12,CPI-22DEC,2023-01-12,-0.1,298.832,0.0,YES
2023-01,CPI-23JAN,2023-02-14,0.5,300.42,0.5,
2023-02,CPI-23FEB,2023-03-14,0.4,301.45,0.3,YES
2023-03,CPI-23MAR,2023-04-12,0.1,301.821,0.1,
2023-04,CPI-23APR,2023-05-10,0.4,302.845,0.3,YES
2023-05,CPI-23MAY,2023-06-13,0.1,303.334,0.2,YES
2023-06,CPI-23JUN,2023-07-12,0.2,304.014,0.2,
2023-07,CPI-23JUL,2023-08-10,0.2,304.609,0.2,
2023-08,CPI-23AUG,2023-09-13,0.6,306.082,0.5,YES
2023-09,CPI-23SEP,2023-10-12,0.4,307.276,0.4,
2023-10,CPI-23OCT,2023-11-14,0.0,307.696,0.1,YES
2023-11,CPI-23NOV,2023-12-12,0.1,308.148,0.1,
2023-12,CPI-23DEC,2024-01-11,0.3,308.741,0.2,YES
2024-01,CPI-24JAN,2024-02-13,0.3,309.698,0.3,
2024-02,CPI-24FEB,2024-03-12,0.4,310.967,0.4,
2024-03,CPI-24MAR,2024-04-10,0.4,312.345,0.4,
2024-04,CPI-24APR,2024-05-15,0.3,313.023,0.2,YES
2024-05,CPI-24MAY,2024-06-12,0.0,313.175,0.0,
2024-06,CPI-24JUN,2024-07-11,-0.1,313.044,-0.0,YES
2024-07,CPI-24JUL,2024-08-14,0.2,313.569,0.2,
2024-08,CPI-24AUG,2024-09-11,0.2,314.062,0.2,
2024-09,CPI-24SEP,2024-10-10,0.2,314.732,0.2,
2024-10,CPI-24OCT,2024-11-13,0.2,315.631,0.3,YES
2024-11,KXCPI-24NOV,2024-12-11,0.3,316.528,0.3,
2024-12,KXCPI-24DEC,2025-01-15,0.4,317.604,0.3,YES
2025-01,KXCPI-25JAN,2025-02-12,0.5,318.961,0.4,YES
2025-02,KXCPI-25FEB,2025-03-12,0.2,319.679,0.2,
2025-03,KXCPI-25MAR,2025-04-10,-0.1,319.785,0.0,YES
2025-04,KXCPI-25APR,2025-05-13,0.2,320.302,0.2,
2025-05,KXCPI-25MAY,2025-06-11,0.1,320.62,0.1,
2025-06,KXCPI-25JUN,2025-07-15,0.3,321.435,0.3,
2025-07,KXCPI-25JUL,2025-08-12,0.2,322.169,0.2,
2025-08,KXCPI-25AUG,2025-09-11,0.4,323.291,0.3,YES
2025-09,KXCPI-25SEP,2025-10-15,0.3,324.245,0.3,
2025-10,KXCPI-25OCT,2025-11-13,0.2,,,
2025-11,KXCPI-25NOV,2025-12-18,0.2,325.063,,
2025-12,KXCPI-25DEC,2026-01-13,0.3,326.031,0.3,
2026-01,KXCPI-26JAN,2026-02-13,0.2,326.588,0.2,
2026-02,KXCPI-26FEB,2026-03-11,0.3,327.46,0.3,
2026-03,KXCPI-26MAR,2026-04-10,0.9,330.293,0.9,
2026-04,KXCPI-26APR,2026-05-12,0.6,332.407,0.6,
2026-05,KXCPI-26MAY,2026-06-10,0.5,333.979,0.5,
2026-06,KXCPI-26JUN,2026-07-14,-0.4,332.568,-0.4,
